label	group	precision	recall
2	9	0.7120	0.920
8	9	0.6885	0.929
0	9	0.6599	0.938
9	9	0.6075	0.950
1	9	0.5758	0.958
6	9	0.4948	0.975
7	9	0.4613	0.982
5	9	0.4446	0.987
3	9	0.4323	0.990
4	9	0.3890	1.000
4	8	0.6738	0.518
9	8	0.5349	0.618
3	8	0.4765	0.641
1	8	0.4154	0.672
7	8	0.3503	0.719
0	8	0.3291	0.740
8	8	0.3147	0.756
6	8	0.2533	0.820
2	8	0.1466	0.991
5	8	0.1428	1.000
8	7	0.2291	0.194
1	7	0.1218	0.286
9	7	0.0770	0.345
2	7	0.0341	0.815
0	7	0.0337	0.840
7	7	0.0321	0.877
6	7	0.0294	0.939
4	7	0.0272	0.984
5	7	0.0265	0.995
3	7	0.0259	1.000
0	6	0.3649	0.272
7	6	0.1670	0.402
8	6	0.1452	0.435
9	6	0.1112	0.498
1	6	0.0955	0.527
2	6	0.0473	0.897
5	6	0.0458	0.912
6	6	0.0414	0.957
4	6	0.0382	0.995
3	6	0.0374	1.000
7	5	0.5400	0.375
5	5	0.4955	0.537
0	5	0.4152	0.579
1	5	0.3357	0.614
9	5	0.2692	0.658
8	5	0.2506	0.674
6	5	0.1842	0.741
4	5	0.1528	0.801
3	5	0.1467	0.813
2	5	0.0896	1.000
3	4	0.5541	0.449
5	4	0.2839	0.526
6	4	0.1240	0.673
7	4	0.1022	0.744
4	4	0.0771	0.814
9	4	0.0688	0.841
1	4	0.0637	0.853
0	4	0.0606	0.861
2	4	0.0340	0.995
8	4	0.0334	1.000
9	3	0.3714	0.329
8	3	0.3048	0.378
0	3	0.2449	0.413
4	3	0.1540	0.530
3	3	0.1434	0.556
1	3	0.1298	0.584
2	3	0.0725	0.910
7	3	0.0699	0.947
6	3	0.0644	0.995
5	3	0.0624	1.000
5	2	0.2426	0.263
4	2	0.1013	0.455
7	2	0.0870	0.559
0	2	0.0821	0.599
1	2	0.0763	0.649
6	2	0.0652	0.796
8	2	0.0626	0.807
3	2	0.0597	0.820
2	2	0.0335	0.985
9	2	0.0322	1.000
6	1	0.6030	0.533
1	1	0.5048	0.592
3	1	0.4523	0.621
5	1	0.3963	0.647
8	1	0.3684	0.662
9	1	0.3144	0.694
0	1	0.2938	0.709
2	1	0.1516	0.932
7	1	0.1451	0.958
4	1	0.1348	1.000
1	0	0.3370	0.249
8	0	0.2666	0.309
6	0	0.1439	0.493
5	0	0.1285	0.526
0	0	0.1187	0.548
9	0	0.1039	0.589
2	0	0.0606	0.924
7	0	0.0579	0.951
4	0	0.0537	0.994
3	0	0.0526	1.000
