label	group	precision	recall
4	9	0.6052	0.489
8	9	0.3885	0.561
6	9	0.2862	0.619
7	9	0.2443	0.657
5	9	0.1940	0.728
1	9	0.1627	0.803
3	9	0.1551	0.827
2	9	0.1385	0.891
0	9	0.1224	0.977
9	9	0.1183	1.000
3	8	0.3607	0.525
9	8	0.2172	0.688
0	8	0.0878	0.775
7	8	0.0745	0.802
8	8	0.0636	0.832
1	8	0.0506	0.882
6	8	0.0455	0.912
5	8	0.0397	0.951
4	8	0.0362	0.973
2	8	0.0323	1.000
8	7	0.3501	0.286
7	7	0.2663	0.399
4	7	0.2142	0.543
6	7	0.1815	0.627
3	7	0.1687	0.669
0	7	0.1327	0.790
5	7	0.1192	0.873
9	7	0.1147	0.908
1	7	0.1022	0.964
2	7	0.0921	1.000
1	6	0.2472	0.413
7	6	0.2079	0.503
0	6	0.1520	0.701
3	6	0.1432	0.741
8	6	0.1310	0.796
6	6	0.1197	0.848
9	6	0.1137	0.881
2	6	0.1002	0.933
4	6	0.0926	0.968
5	6	0.0837	1.000
5	5	0.1835	0.254
8	5	0.1675	0.370
7	5	0.1562	0.453
3	5	0.1493	0.510
1	5	0.1355	0.671
6	5	0.1302	0.766
2	5	0.1185	0.867
9	5	0.1126	0.892
0	5	0.0974	0.968
4	5	0.0910	1.000
9	4	0.4018	0.226
6	4	0.3830	0.547
5	4	0.2343	0.635
8	4	0.1961	0.681
7	4	0.1749	0.719
3	4	0.1623	0.745
0	4	0.1308	0.844
4	4	0.1198	0.889
2	4	0.1081	0.946
1	4	0.0983	1.000
2	3	0.3876	0.435
1	3	0.2400	0.559
0	3	0.1837	0.718
5	3	0.1647	0.822
7	3	0.1563	0.865
8	3	0.1464	0.905
6	3	0.1366	0.944
9	3	0.1302	0.963
3	3	0.1252	0.976
4	3	0.1160	1.000
7	2	0.1567	0.170
2	2	0.1439	0.481
8	2	0.1235	0.574
1	2	0.1042	0.737
5	2	0.0909	0.841
4	2	0.0813	0.887
6	2	0.0747	0.925
3	2	0.0712	0.939
0	2	0.0603	0.988
9	2	0.0577	1.000
0	1	0.4879	0.466
1	1	0.3854	0.649
3	1	0.3583	0.692
2	1	0.2970	0.775
9	1	0.2796	0.810
5	1	0.2496	0.887
8	1	0.2337	0.922
6	1	0.2179	0.957
7	1	0.2075	0.979
4	1	0.1918	1.000
5	0	0.3281	0.348
7	0	0.2673	0.424
6	0	0.2261	0.521
9	0	0.2099	0.581
2	0	0.1832	0.708
0	0	0.1547	0.837
1	0	0.1409	0.928
4	0	0.1300	0.961
8	0	0.1228	0.986
3	0	0.1187	1.000
