label	group	precision	recall
2	9	0.3694	0.0292
8	9	0.2795	0.4013
4	9	0.2708	0.4404
7	9	0.2630	0.4570
3	9	0.2103	0.5880
5	9	0.1407	0.9904
9	9	0.1395	0.9935
0	9	0.1390	0.9948
6	9	0.1367	0.9988
1	9	0.1359	1.0000
7	8	0.1385	0.0276
8	8	0.0999	0.2623
4	8	0.0991	0.2939
3	8	0.0941	0.4570
1	8	0.0938	0.4642
5	8	0.0781	0.9793
2	8	0.0779	0.9881
6	8	0.0769	0.9958
9	8	0.0763	0.9993
0	8	0.0760	1.0000
9	7	0.4860	0.0366
0	7	0.4839	0.0523
6	7	0.3820	0.0937
3	7	0.3160	0.3869
7	7	0.3085	0.4096
1	7	0.3055	0.4196
8	7	0.2258	0.5934
5	7	0.1503	0.9853
2	7	0.1495	0.9907
4	7	0.1470	1.0000
6	6	0.5214	0.0889
4	6	0.4378	0.1706
0	6	0.4313	0.1857
7	6	0.4018	0.2245
1	6	0.3824	0.2355
5	6	0.1405	0.7724
3	6	0.1306	0.8769
9	6	0.1299	0.8846
2	6	0.1292	0.8912
8	6	0.1182	1.0000
3	5	0.1016	0.2157
8	5	0.0935	0.4529
5	5	0.0738	0.9850
9	5	0.0732	0.9892
6	5	0.0720	0.9943
7	5	0.0711	0.9977
1	5	0.0707	0.9988
0	5	0.0703	0.9989
4	5	0.0685	0.9997
2	5	0.0678	1.0000
5	4	0.1471	0.7512
4	4	0.1459	0.7783
1	4	0.1455	0.7852
7	4	0.1441	0.7968
3	4	0.1303	0.8863
6	4	0.1286	0.8976
8	4	0.1158	0.9975
9	4	0.1147	0.9990
2	4	0.1135	0.9998
0	4	0.1130	1.0000
8	3	0.0698	0.2606
3	3	0.0666	0.4427
5	3	0.0540	0.9900
7	3	0.0532	0.9926
4	3	0.0520	0.9969
2	3	0.0515	0.9986
1	3	0.0511	0.9988
6	3	0.0501	0.9996
0	3	0.0499	0.9997
9	3	0.0494	1.0000
3	2	0.0477	0.1841
8	2	0.0459	0.4040
5	2	0.0408	0.9907
1	2	0.0406	0.9927
4	2	0.0396	0.9961
7	2	0.0390	0.9980
9	2	0.0386	0.9986
6	2	0.0379	0.9998
2	2	0.0375	1.0000
0	2	0.0373	1.0000
5	1	0.3080	0.8336
8	1	0.2621	0.9363
3	1	0.2354	0.9997
1	1	0.2336	0.9998
9	1	0.2309	0.9998
4	1	0.2246	0.9999
6	1	0.2199	0.9999
7	1	0.2165	1.0000
2	1	0.2142	1.0000
0	1	0.2132	1.0000
2	0	0.4024	0.1026
1	0	0.3800	0.1579
9	0	0.3589	0.2433
4	0	0.2560	0.3307
0	0	0.2429	0.3416
7	0	0.2086	0.3682
8	0	0.0880	0.5402
6	0	0.0842	0.5569
3	0	0.0654	0.6557
5	0	0.0422	1.0000
