# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	1334568	1168	2976	23898	52794	33308	5173698	6705951	161214	508466	0	13998041
1	6770943	25750	222449	36352	2265921	206539	3795354	4299988	1578544	454143	13	19655996
2	12558788	10360	23128	244376	289434	55418	2257606	2297469	1943253	11528152	0	31207984
3	12101863	39251727	19921631	26089016	29342848	42457573	35831047	125060976	35985014	51654762	25	417696482
4	10702002	47318	366689	613202	8905515	155876	28025442	3964065	6972519	15437084	41	75189753
5	42147165	515665043	63494608	78394262	246322020	104725509	184174299	167176941	113641880	158739643	201	1674481571
6	2040277	35644	120613	106013	3706575	1001646	30486815	17641835	1718738	1615004	0	58473160
7	3256306	25819	206428	366001	3796297	664115	13316898	9670430	6090907	6570377	12	43963590
8	21056844	63510814	23801620	37328992	32755587	46668464	37326249	74108438	51786745	146766533	159	535110445
9	10460949	20315	66983	38026	482739	828383	2652359	15618076	754442	1216984	0	32139256
