# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	129314380	251089612	77647151	146949094	97454411	108239766	114813263	99864948	32204876	138402675	1681772	1197661948
1	6664616	7274842	1943244	4740781	6453813	4230650	2671490	5263413	4458408	5876093	102	49577452
2	21186981	24927910	6947993	16547781	20315017	15343010	9377424	17968228	3600659	20442279	1797	156659079
3	11120870	11659142	2754519	7025153	13908389	7247475	3967370	9335498	3078231	9765301	213	79862161
4	4770963	6911042	1431892	3499436	5536520	3582128	2301039	4544594	4358880	4828087	373	41764954
5	5116351	5286707	1228609	3172233	6615065	3144859	1797388	4186411	5200614	4293087	147	40041471
6	120262158	183971721	60187238	119486006	90047095	90929187	86134940	88709510	27243573	117030182	383803	984385413
7	30817576	36379275	10119075	24344543	29463225	21253622	13558505	25259817	5346421	28957773	144	225499976
8	2294466	2317837	534826	1416198	3061778	1389418	766975	1852089	3769997	1931564	25	19335173
9	12679462	14343284	3938963	9371256	12224845	8626375	5384333	10314564	4426721	11654736	779	92965318
