# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	959132	3431214	2178535	19793670	1813385	1617479	1511005	4278798	928572	2926880	221	39438891
1	444112	2411006	1309597	16115031	1384890	1182010	1058794	3231704	552427	2127535	100	29817206
2	2320514	803702	446458	2573654	696121	340707	872121	823300	381047	444417	0	9702041
3	791238	5841532	3260239	52933471	2387756	2828770	1327693	8567201	1093530	5741991	495	84773916
4	444496	1067340	395110	5079145	684667	393351	909552	1040615	882807	595180	0	11492263
5	746588	2992240	1170496	17137754	1579615	1285539	1783714	3476356	1216912	1925311	156	33314681
6	919579	5111312	2688826	38038301	2339896	2488737	1789017	7341353	1022257	4571561	158	66310997
7	1506206	8465016	5209940	80839863	3616679	4159213	2121341	12836303	1535173	8338490	430	128628654
8	1834856	802546	1551832	3890683	771165	401033	579884	935075	274657	838329	67	11880127
9	9430774	101801421	42124869	1928414297	33606617	48476755	17071514	173489567	15436039	97528771	2048991	2469429615
