label	group	precision	recall
1	9	0.1393	0.0661
8	9	0.1380	0.0770
3	9	0.1075	0.8990
9	9	0.1066	0.9392
2	9	0.1059	0.9556
7	9	0.1007	0.9865
4	9	0.0994	0.9919
0	9	0.0989	0.9935
5	9	0.0972	0.9984
6	9	0.0964	1.0000
9	8	0.0538	0.0485
3	8	0.0505	0.8405
7	8	0.0503	0.9141
1	8	0.0500	0.9567
2	8	0.0496	0.9711
5	8	0.0492	0.9848
0	8	0.0490	0.9882
8	8	0.0488	0.9918
4	8	0.0482	0.9981
6	8	0.0479	1.0000
6	7	0.3190	0.0195
7	7	0.2346	0.1213
1	7	0.2232	0.1779
2	7	0.2154	0.1991
3	7	0.1723	0.9532
0	7	0.1720	0.9587
8	7	0.1715	0.9642
9	7	0.1674	0.9853
4	7	0.1656	0.9920
5	7	0.1633	1.0000
4	6	0.6148	0.0516
5	6	0.5765	0.1108
6	6	0.5377	0.1302
7	6	0.3969	0.2432
9	6	0.3716	0.3074
8	6	0.3642	0.3159
0	6	0.3572	0.3217
1	6	0.3200	0.3611
3	6	0.2025	0.9874
2	6	0.2008	1.0000
3	5	0.0562	0.9139
7	5	0.0537	0.9595
2	5	0.0530	0.9709
1	5	0.0510	0.9840
0	5	0.0507	0.9857
9	5	0.0487	0.9928
6	5	0.0483	0.9943
5	5	0.0473	0.9976
4	5	0.0466	0.9996
8	5	0.0463	1.0000
5	4	0.1482	0.0301
9	4	0.1448	0.0877
7	4	0.1400	0.1821
3	4	0.1139	0.9482
4	4	0.1130	0.9584
1	4	0.1103	0.9827
0	4	0.1099	0.9860
2	4	0.1087	0.9964
8	4	0.1080	0.9983
6	4	0.1071	1.0000
3	3	0.0404	0.9301
1	3	0.0393	0.9596
9	3	0.0378	0.9737
8	3	0.0375	0.9755
2	3	0.0368	0.9795
7	3	0.0343	0.9929
4	3	0.0338	0.9955
5	3	0.0332	0.9987
0	3	0.0330	0.9996
6	3	0.0327	1.0000
3	2	0.0331	0.9177
7	2	0.0315	0.9591
9	2	0.0305	0.9782
0	2	0.0303	0.9807
5	2	0.0298	0.9870
2	2	0.0293	0.9914
1	2	0.0280	0.9978
4	2	0.0276	0.9995
8	2	0.0274	0.9998
6	2	0.0271	1.0000
3	1	0.1495	0.9942
0	1	0.1482	0.9944
7	1	0.1353	0.9968
2	1	0.1321	0.9974
1	1	0.1255	0.9985
5	1	0.1226	0.9990
9	1	0.1172	0.9997
4	1	0.1153	0.9999
8	1	0.1143	1.0000
6	1	0.1132	1.0000
0	0	0.5613	0.0227
2	0	0.5210	0.0866
8	0	0.5138	0.1104
1	0	0.4179	0.2055
9	0	0.3776	0.2842
6	0	0.3674	0.2988
7	0	0.3061	0.3868
4	0	0.2976	0.4064
5	0	0.2864	0.4289
3	0	0.1652	1.0000
