# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	14032	1595774	1773460	1016102	10643	40750	9718509	34925	258339	21388951	0	35851485
1	115285	163586	6361710	235721	29583439	57361637	199781	9396587	2991555	778900	0	107188201
2	33245	7107	38896	387019	6506435	385808	25480715	1843591	270666	103485	0	35056967
3	9103620	34020	1465	143941	5483	45543	5059046	62683	97672	323455	0	14876928
4	25110	13292699	35705	56739353	141872	91247357	9777599	5402333	925174	208383	0	177795585
5	21990	9045	27905	73700	29926596	11773119	985747	5129299	37627119	57704	0	85632224
6	2842	3844190	1446	13163	2733082	38248	232756	2246690	3032	1318390	0	10433839
7	72658	46731	228817	284469615	540336	1512907759	1085299	98473	406214127	458299	0	2206122114
8	940114	134742	10340775	74591551	2499969	601147	379275	19709099	86680063	251886	0	196128621
9	3669145	528102	12397805	26317	3241898	80203	5554433	39910	42698	7249803	0	32830314
