label	group	precision	recall
5	1	0.0749	0.0294
3	1	0.0706	0.0828
8	1	0.0696	0.0949
1	1	0.0659	0.1217
4	1	0.0632	0.1427
7	1	0.0568	0.2536
9	1	0.0557	0.2991
2	1	0.0542	0.3740
6	1	0.0408	0.6752
0	1	0.0354	1.0000
8	0	0.1564	0.0252
4	0	0.1258	0.0640
1	0	0.1064	0.0981
5	0	0.0999	0.1254
9	0	0.0856	0.1738
3	0	0.0761	0.2051
7	0	0.0637	0.2913
2	0	0.0595	0.3498
6	0	0.0464	0.6536
0	0	0.0416	1.0000
5	8	0.0794	0.0518
8	8	0.0759	0.0734
1	8	0.0642	0.1138
3	8	0.0543	0.1668
4	8	0.0517	0.1939
9	8	0.0463	0.2439
7	8	0.0388	0.3463
2	8	0.0360	0.4137
6	8	0.0251	0.6900
0	8	0.0213	1.0000
4	5	0.0640	0.0216
3	5	0.0617	0.0605
5	5	0.0607	0.0792
1	5	0.0599	0.1021
7	5	0.0580	0.2043
8	5	0.0579	0.2130
9	5	0.0575	0.2546
2	5	0.0567	0.3226
6	5	0.0472	0.6430
0	5	0.0429	1.0000
3	3	0.0687	0.0415
5	3	0.0667	0.0605
1	3	0.0653	0.0837
7	3	0.0634	0.1893
9	3	0.0631	0.2327
2	3	0.0626	0.3052
4	3	0.0624	0.3241
8	3	0.0623	0.3328
6	3	0.0513	0.6559
0	3	0.0458	1.0000
3	6	0.1100	0.0378
9	6	0.1089	0.0809
5	6	0.1085	0.0992
7	6	0.1054	0.1985
1	6	0.1050	0.2202
2	6	0.1040	0.2880
8	6	0.1038	0.2962
4	6	0.1035	0.3137
6	6	0.0869	0.6307
0	6	0.0806	1.0000
2	9	0.1506	0.0642
7	9	0.1493	0.1553
9	9	0.1490	0.1928
3	9	0.1483	0.2241
1	9	0.1474	0.2427
4	9	0.1468	0.2583
5	9	0.1458	0.2726
6	9	0.1321	0.6010
0	9	0.1272	0.9937
8	9	0.1272	1.0000
3	4	0.0858	0.0421
5	4	0.0835	0.0614
9	4	0.0812	0.1061
1	4	0.0805	0.1296
7	4	0.0786	0.2352
4	4	0.0783	0.2546
2	4	0.0777	0.3274
8	4	0.0776	0.3362
6	4	0.0633	0.6563
0	4	0.0564	1.0000
3	7	0.0694	0.0412
5	7	0.0675	0.0601
2	7	0.0647	0.1329
7	7	0.0637	0.2377
1	7	0.0636	0.2607
8	7	0.0635	0.2695
9	7	0.0632	0.3118
4	7	0.0630	0.3304
6	7	0.0522	0.6548
0	7	0.0466	1.0000
0	2	0.5676	0.4694
6	2	0.5531	0.8333
2	2	0.5412	0.8739
7	2	0.5260	0.9313
9	2	0.5195	0.9532
1	2	0.5158	0.9639
3	2	0.5097	0.9807
4	2	0.5067	0.9895
5	2	0.5033	0.9968
8	2	0.5015	1.0000
