# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	8948250	125828	489218	141860	1073920	464204	2379598	4003936	991936	779128	0	19397878
1	7583172	470894	845370	6152716	5026976	2976394	15274483	38457627	13798912	42144753	0	132731297
2	16997680	351192	804478	740702	2522192	3819403	4351192	12595880	4394514	13759701	0	60336934
3	54543064	615706142	96815839	129381478	232842163	172451340	181618147	274020444	147065799	279532952	313	2183977681
4	3731038	118314	200032	604190	3894686	491840	29018899	4374770	2518846	3928944	0	48881559
5	2935674	313672	744698	680280	12582374	875222	31856642	4374429	6125180	2686832	40	63175043
6	2165727	15752	32742	82364	422024	480650	9168343	14941737	591296	1124340	0	29024975
7	10102945	1113414	5693110	2082946	43858689	13725992	41982752	59224502	23096098	15145914	96	216026458
8	4125635	20810	23436	315424	267246	62890	3864636	4587206	1486626	8570010	0	23323919
9	11296520	357940	2578202	3058178	25429460	1448896	23525075	9963638	20564049	26818574	2	125040534
