# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	47967546	8444879	4553090	14386200	14632750	9616420	29121610	39327060	49180551	206657467	0	423887573
1	1475220	10636000	6106970	48256463	10512424	12755064	8315260	17402195	21656610	43821838	0	180938044
2	30587317	1320750	975850	357570	4103340	1105960	5694123	21807022	2682710	1827760	0	70462402
3	1772830	12163556	7658440	9335220	11587740	64252929	8999930	25644140	9419420	17797540	0	168631745
4	9303998	5046054	1942230	4014200	23166274	7724370	175937839	19777644	13072250	12871354	42	272856255
5	8501833	547841028	31629027	46021605	52891373	53200137	25039664	46857206	18825149	59127422	145	889934589
6	370100	8765486	9502240	4957170	4729790	5147250	1890970	3784560	3081880	4992410	0	47221856
7	10535020	8593866	12989213	5580860	173688349	7528350	57510593	22395040	62112620	15839190	0	376773101
8	9985461	8215359	4125745	5055480	13226610	27559691	24304908	217232297	13961560	21318267	0	344985378
9	1930380	7566980	28744320	5275370	19381080	7906660	6224870	12317005	26640506	10237900	0	126225071
