# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	1113656	523058	688519	3938238	1129301	9120809	1383721	745606	4418813	764037	445	23826203
1	464425	2269292	291011	1532343	653326	3110873	660684	368820	1628401	1186454	0	12165629
2	408646	597669	1644220	3750541	1820333	7544264	1073624	985490	4169868	1561021	25	23555701
3	937605	1066610	2153997	16952000	4107774	40453602	3436566	2663154	19557437	1948096	464	93277305
4	886915	1054075	2196546	18921919	4400316	45793143	3576559	2816980	22282268	1990615	126	103919462
5	6202775	11041482	20498125	349690009	56025386	1497857371	40903343	31803304	457416661	18856016	2049177	2492343649
6	711472	581000	1032393	8174633	2251768	19019754	1990295	1410441	9424711	1162828	96	45759391
7	1589055	683670	531873	2194067	979346	3635660	1877773	809089	2005639	1177956	27	15484155
8	694092	675990	1165466	10151123	2439920	24841810	2157186	1565223	11868709	1235539	97	56795155
9	989293	1162882	1005526	2379534	1381012	3955327	1412706	794865	2324009	2256426	161	17661741
