label	group	precision	recall
1	9	0.1894	0.1205
8	9	0.1773	0.1807
6	9	0.1267	0.3128
0	9	0.1129	0.3629
5	9	0.1025	0.4088
7	9	0.0934	0.4508
2	9	0.0608	0.8474
3	9	0.0595	0.8789
9	9	0.0566	0.9656
4	9	0.0553	1.0000
7	8	0.1552	0.0957
3	8	0.1291	0.1578
4	8	0.1167	0.2298
1	8	0.1124	0.2740
9	8	0.1008	0.4152
0	8	0.0979	0.4573
6	8	0.0931	0.5340
5	8	0.0907	0.5718
2	8	0.0761	0.9904
8	8	0.0752	1.0000
9	7	0.1037	0.2094
5	7	0.1021	0.2757
7	7	0.0935	0.3217
4	7	0.0863	0.3743
3	7	0.0822	0.4165
2	7	0.0672	0.8822
6	7	0.0661	0.9517
0	7	0.0648	0.9756
1	7	0.0637	0.9945
8	7	0.0627	1.0000
6	6	0.1706	0.1610
7	6	0.1640	0.2443
3	6	0.1522	0.3084
5	6	0.1447	0.3659
1	6	0.1402	0.4127
4	6	0.1316	0.4742
9	6	0.1197	0.6099
0	6	0.1153	0.6436
2	6	0.0858	0.9888
8	6	0.0850	1.0000
9	5	0.2384	0.2397
3	5	0.2318	0.3171
4	5	0.2198	0.3987
8	5	0.2166	0.4293
6	5	0.2003	0.5246
0	5	0.1905	0.5615
2	5	0.1340	0.9323
7	5	0.1311	0.9602
5	5	0.1284	0.9839
1	5	0.1259	1.0000
1	4	0.2868	0.1058
7	4	0.2292	0.1959
6	4	0.1658	0.2809
4	4	0.1473	0.3363
5	4	0.1386	0.3783
9	4	0.1238	0.5018
0	4	0.1204	0.5402
3	4	0.1167	0.5792
2	4	0.0964	0.9883
8	4	0.0955	1.0000
8	3	0.2174	0.0978
0	3	0.2167	0.2879
5	3	0.1677	0.3750
3	3	0.1331	0.4267
1	3	0.1147	0.4535
2	3	0.0569	0.8346
4	3	0.0548	0.8699
6	3	0.0522	0.9172
9	3	0.0483	0.9782
7	3	0.0471	1.0000
9	2	0.2090	0.2032
4	2	0.2046	0.2872
3	2	0.1923	0.3372
2	2	0.1494	0.8412
7	2	0.1476	0.8833
6	2	0.1424	0.9404
0	2	0.1398	0.9675
1	2	0.1368	0.9833
5	2	0.1325	0.9963
8	2	0.1302	1.0000
2	1	0.2283	0.8236
3	1	0.2166	0.8517
6	1	0.1976	0.8903
1	1	0.1898	0.9028
7	1	0.1805	0.9186
5	1	0.1728	0.9323
9	1	0.1544	0.9727
4	1	0.1477	0.9897
0	1	0.1426	0.9976
8	1	0.1399	1.0000
5	0	0.3181	0.0742
8	0	0.2978	0.1039
0	0	0.2678	0.1539
2	0	0.2235	0.7440
4	0	0.2194	0.7974
6	0	0.2144	0.8734
7	0	0.2096	0.9066
3	0	0.2038	0.9323
1	0	0.1988	0.9479
9	0	0.1832	1.0000
