# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	10938396	115173	119150	1643673	8350468	67911	75693	2377049	870	137820	0	23826203
1	56202	3579581	4380594	19582	2098	158572	1932640	126793	1776604	132963	0	12165629
2	3514717	89219	1504	384224	34706	1508	80443	18205286	1135617	108477	0	23555701
3	8863322	2802123	259009	47439878	1457831	65810	27145843	312221	1540591	3390677	0	93277305
4	3418654	3164093	8812	25048713	918513	298778	1622009	66574833	844810	2020247	0	103919462
5	1531535	5402556	114694	8509539	215097	1836472	7664118	17685557	1377055	2448007026	0	2492343649
6	76416	11182255	100887	506574	23799	21539892	688174	2483593	687538	8470263	0	45759391
7	927208	2877536	2195422	694512	421917	7811040	280433	65414	16163	194510	0	15484155
8	594667	585641	288711	496406	10428	867428	26239349	19919412	947877	6845236	0	56795155
9	9517774	19029	2233258	30815	57406	667270	582295	878496	3553002	122396	0	17661741
