# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	5434000	4506440	1098748	2812049	5917739	2716781	1512764	3873477	4431734	3929515	0	36233247
1	1404975	2769303	361841	1015520	2349974	1108864	796984	1622824	3270118	1575524	19	16275946
2	3054497	4520313	1094722	2737801	3548543	2452539	1636547	2933279	3617294	3269738	38	28865311
3	6565997	6870457	1619040	4042849	7315478	3870745	2395201	5175622	3870842	5426480	89	47152800
4	4441206	4355589	1027696	2570489	5938272	2851499	1444933	3700460	5573510	3766186	283	35670123
5	61040473	93727097	32039148	71109897	47928902	51837712	41627667	52507679	12240405	69264383	10082	533333445
6	32943988	40310399	11715879	28320912	29449593	23647675	15619775	27196034	6238493	31842372	2660	247287780
7	164409988	303999363	93651932	168131173	120518522	126281036	143246838	114780320	42365406	158484726	2052086	1437921390
8	31848924	38954316	10770161	25190398	32825491	23302820	14587769	27134087	6120521	31205057	1863	241941407
9	33083775	44148095	13354343	30621393	29287644	25916819	17904249	28375290	5960057	34417796	2035	263071496
