# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	274724	1060119	1931918	2999435	1601511	66740023	5684236	92789	118209494	152445674	0	351039923
1	1587671	22095646	1935329	14743461	8893474	77749265	2972268	575073	80276649	161605271	0	372434107
2	3447884	1031556	1227027	1690858	10704509	47341455	4634769	412565	61311058	299875841	0	431677522
3	5850	511717	16861	698631	40837	36444218	87826	46941	59383888	81754262	0	178991031
4	166211	72064	74112	135124	1222853	33409926	692850	23436	43593834	112805326	0	192195736
5	16081	20181	12305	34238	122526	23127044	100166	9165	33589717	52683960	0	109715383
6	8618356	3479333	4073021	6686108	7299245	16490387	13071560	4676294	30022584	71802263	0	166219151
7	7395	40958	95571	107842	57761	27625249	118407	14011	36859024	53083223	0	118009441
8	3208	21647	13760	31556	17558	68401579	33816	18509	158521873	477272807	0	704336313
9	106608	3622521	115995	4205356	706519	52555622	954642	196292	71660491	126044184	0	260168230
