# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	23941208	76839369	399474236	84745129	68821895	70826936	63214979	21741726	351420750	36635197	523	1197661948
1	4541818	6476402	876698	1284732	7313988	5017146	611994	8927481	12458381	2068763	49	49577452
2	3201281	6469456	7716816	24292638	5348914	44660770	43087623	2376538	12490732	7014188	123	156659079
3	1648622	6740858	13405579	4969740	22766191	6596790	2984444	3374499	2685790	14689622	26	79862161
4	2888344	4168390	1305844	612092	15141450	2659710	345208	11389138	1215062	2039678	38	41764954
5	7724857	9214124	1374908	720228	6055756	4342288	2086603	1561224	4892070	2069413	0	40041471
6	40243292	51408408	455625123	47413338	82641403	82797576	99051688	27986827	48411122	48805858	778	984385413
7	13211374	11422668	18290739	25770113	33682337	68566147	6916434	16764591	19143646	11731819	108	225499976
8	1887848	1832698	442716	618930	2706768	3649133	340592	5144232	506268	2205988	0	19335173
9	11714880	13167948	13280431	11410790	12053779	8512834	2643868	4807767	10153854	5219104	63	92965318
