# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	1120146	1174284	23717891	49563280	27580095	143412027	2730484	13158416	158477484	2953466	0	423887573
1	57803	51447	488999	34979292	1343374	89457483	218182	925085	53343813	72566	0	180938044
2	2307813	7620147	3370431	9630779	2973262	22635432	2241394	1054173	7223845	11405126	0	70462402
3	13987	137752	25813	38732142	74355	85693691	734674	449964	42191007	578360	0	168631745
4	4863826	2469918	1774374	28570551	28148664	133247566	30392803	12395454	29072834	1920265	0	272856255
5	1840	17471	12791	66529307	50889	712396189	41062	30878	110831196	22966	0	889934589
6	763	57988	4950	9418541	62358	25411873	27407	30788	12193080	14108	0	47221856
7	86912	4225671	514462	36282774	12255848	270467876	4548951	7606406	40079142	705059	0	376773101
8	5539349	3377185	1250694	119077305	1909812	119918365	17319859	7729656	54527489	14335664	0	344985378
9	5602	524120	47579	24912486	791096	71840941	218344	582758	27170469	131676	0	126225071
