# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	1293000	170014	9456626	332174	1859626	80252	343306	1683434	3414364	765082	0	19397878
1	58788781	12054052	4837456	1859928	12643279	567906	194824	7882944	32489695	1412432	0	132731297
2	26728549	1281330	7348892	4303725	3087736	368876	253974	3592920	11956294	1414638	0	60336934
3	244177362	154324956	28167406	146426386	132244911	886889383	44506320	233081939	209050095	105108755	168	2183977681
4	6404704	1210570	1998678	327418	30330293	133472	69404	4841354	3219426	346240	0	48881559
5	4776412	1252606	1316714	894684	32228252	367184	228232	17600882	2994569	1515508	0	63175043
6	1660716	171802	3240220	323274	8415424	20240	5654	641910	14488439	57296	0	29024975
7	21529080	3234042	9139079	13272456	31899019	1067016	1073586	65977716	58636050	10198318	96	216026458
8	13927000	601840	1789841	29236	3267888	30380	6486	404066	3233298	33884	0	23323919
9	44601969	6636832	3167490	862464	16879827	409880	540070	41065936	5503148	5372918	0	125040534
