# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	22792	86371	40384	3874812	733359	74228571	310104	56333	962345	65068	0	80380139
1	17765	62626	22234	761218	10769246	93817912	2077183	58505	4521225	11035	0	112118949
2	9398	3831	8450	297918	288222	1449866943	82848	21576	155458	3131	0	1450737775
3	4004675	2289053	339876	3985499	1334245	44850886	6398518	9434674	2430409	2964196	0	78032031
4	17302497	204340	18802981	37400439	28532607	198814476	4993853	1666103	7519447	1081108	0	316317851
5	187692	5209149	3309001	8012846	6698659	60779702	2551961	723541	3609792	9640764	0	100723107
6	440827	3026252	250874	4102357	42086326	243406500	25111867	2131453	23183348	252552	0	343992356
7	597086	1262797	556285	21663751	6592250	128692614	3010077	1024789	12325048	3631704	0	179356401
8	15049	7553	6564	517253	1787297	60292205	265395	42031	526575	1522	0	63461444
9	1228405	13630	219052	12661198	5097228	137593121	957462	325117	1561413	10661	0	159667287
