# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	1008763	845447	1424930	6810086	2245477	14420396	2205421	1502647	7393572	1581931	221	39438891
1	628034	447836	830287	5230615	1710262	11647641	1494559	1047445	5847171	933256	100	29817206
2	612714	2117237	238434	1093654	625587	1898629	708186	346023	1049194	1012383	0	9702041
3	612767	804488	1985486	15271675	3663645	38084817	2730515	2248082	17909837	1462109	495	84773916
4	1082619	433975	315184	1675780	537990	3687245	1019133	402401	1787567	550369	0	11492263
5	1568340	753520	745925	5511151	1532414	12323297	2306723	1175948	6055793	1341414	156	33314681
6	994822	944450	1526426	11976049	3033546	27368860	2983919	2108145	13612889	1761733	158	66310997
7	1038220	1319142	3076825	22730418	5447205	57295056	4116396	3292095	27361035	2951832	430	128628654
8	344569	1079073	810045	1408444	957556	2838189	527121	396065	1577955	1941043	67	11880127
9	6107086	10910560	20254134	345976535	55434800	1485768483	40380484	31444121	452501503	18602918	2048991	2469429615
