# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	11583504	2152931	3474676	8335910	7654379	12218797	11627014	6849408	15567934	4724340	31	84188924
1	8897852	731129	14689808	11349486	2590622	9375109	2753477	1386370	2713074	6435261	47	60922235
2	29553356	17091199	28600279	7225084	17500320	26423286	13264458	8684790	23622424	4701006	20	176666222
3	112265135	40719796	41274875	20600166	39825528	33798315	34320536	29302021	34058487	14802373	68	400967300
4	15743046	1870706	1840712	7703800	27412918	2169321	8734915	2042504	5745632	21793953	68	95057575
5	180490373	220026171	191516279	31490325	97092918	158114812	70337649	81137196	71752464	37436985	303	1139395475
6	48754655	18331576	26956353	7480708	27893228	35155203	43482276	16342005	19560907	19087578	0	263044489
7	43116717	20950642	10178977	9899153	22930771	38828716	26234426	12807973	14551688	23961259	19	223460341
8	66109496	82783502	57944166	10725582	30329066	43482892	31537246	17363753	27469414	24031950	55	391777122
9	15137665	1282575	1289377	21759856	3912587	5670690	4286029	5893613	3276206	3599966	32	66108596
