label	group	precision	recall
9	9	0.3480	0.303
1	9	0.1735	0.365
0	9	0.1417	0.401
4	9	0.1074	0.485
3	9	0.0936	0.546
7	9	0.0886	0.578
5	9	0.0781	0.662
6	9	0.0729	0.723
8	9	0.0647	0.839
2	9	0.0528	1.000
9	8	0.1421	0.181
7	8	0.1142	0.260
3	8	0.0848	0.358
5	8	0.0653	0.464
6	8	0.0580	0.535
1	8	0.0538	0.594
4	8	0.0498	0.673
0	8	0.0484	0.705
8	8	0.0436	0.830
2	8	0.0359	1.000
5	7	0.2960	0.248
6	7	0.2541	0.371
3	7	0.2321	0.471
8	7	0.1899	0.633
2	7	0.1487	0.878
4	7	0.1390	0.921
1	7	0.1330	0.951
0	7	0.1297	0.969
9	7	0.1258	0.986
7	7	0.1229	1.000
4	6	0.3323	0.210
1	6	0.3044	0.332
7	6	0.2786	0.376
9	6	0.2504	0.419
3	6	0.2230	0.484
0	6	0.2125	0.519
5	6	0.1931	0.613
8	6	0.1731	0.747
2	6	0.1462	0.958
6	6	0.1409	1.000
1	5	0.2688	0.137
8	5	0.2528	0.448
3	5	0.2321	0.539
5	5	0.2134	0.669
0	5	0.2030	0.698
2	5	0.1486	0.879
7	5	0.1448	0.898
9	5	0.1403	0.921
4	5	0.1328	0.964
6	5	0.1271	1.000
2	4	0.4304	0.593
8	4	0.3810	0.791
3	4	0.3561	0.848
6	4	0.3337	0.907
9	4	0.3158	0.921
0	4	0.3023	0.932
4	4	0.2761	0.959
5	4	0.2507	0.983
1	4	0.2366	0.995
7	4	0.2292	1.000
4	3	0.2624	0.191
7	3	0.2480	0.254
0	3	0.2365	0.317
5	3	0.1992	0.435
2	3	0.1644	0.785
3	3	0.1583	0.846
6	3	0.1482	0.885
8	3	0.1314	0.958
9	3	0.1273	0.976
1	3	0.1220	1.000
7	2	0.2511	0.338
0	2	0.1547	0.430
1	2	0.0939	0.489
5	2	0.0633	0.573
4	2	0.0520	0.643
2	2	0.0361	0.872
8	2	0.0316	0.952
9	2	0.0304	0.968
3	2	0.0286	0.984
6	2	0.0268	1.000
0	1	0.2605	0.120
6	1	0.2320	0.320
1	1	0.2015	0.435
7	1	0.1800	0.466
9	1	0.1612	0.506
5	1	0.1343	0.587
4	1	0.1202	0.653
8	1	0.1035	0.762
3	1	0.0984	0.806
2	1	0.0835	1.000
6	0	0.1305	0.170
3	0	0.1060	0.264
1	0	0.0941	0.338
9	0	0.0886	0.387
2	0	0.0699	0.681
5	0	0.0675	0.775
4	0	0.0656	0.852
0	0	0.0647	0.884
8	0	0.0602	0.985
7	0	0.0589	1.000
