# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	10887748	80260	201088	87082	1040736	224968	3382756	2585364	471922	435954	0	19397878
1	45593052	353344	498670	2793146	7560132	1765014	22948994	26816482	5908266	18494197	0	132731297
2	30652360	195060	348854	373316	3236857	1525035	7353526	10065820	2007488	4578618	0	60336934
3	273772809	326521734	72250289	88156197	238115764	122713289	365014629	357480944	109980598	229971115	313	2183977681
4	9385664	74342	139254	250178	3169818	269326	30050891	3169332	870716	1502038	0	48881559
5	10805666	165092	491288	297618	9362648	439594	34551625	3776258	1894742	1390472	40	63175043
6	6991066	10648	19662	37758	541366	204724	11260480	9258559	264380	436332	0	29024975
7	42203312	789148	3259140	1275122	29364748	6134920	65884917	48230047	10224678	8660330	96	216026458
8	11408922	14654	18144	174302	563994	58850	4948147	2588544	509260	3039102	0	23323919
9	37707952	234818	1500152	1338078	17886428	945806	37404903	10042346	6730866	11249183	2	125040534
